Email,Status
Thank you for your recent transaction on Steam.,irrelevant
Thank you for your order from the Modern Baseball Official Webstore!,irrelevant
"Hi ,

Your print job is done.",irrelevant
"You print a lot, which is awesome!",irrelevant
Thank you for registering for a Cadmapper account.,irrelevant
"You only have until 11:59PM EST Tuesday, February 23, 2021 to sell either the Shining Fates Elite Trainer Box",irrelevant
"
For any issues, including the recipient not receiving funds, please contact us at support@venmo.com",irrelevant
"Hi Seth,

Your financial statement for Jan 16, 2021 through Feb 15, 2021 has been generated. ",irrelevant
"Hi Valued Client,

Retail investors have more information and more tools at their fingertips than ever before.",irrelevant
"What's happening
We've enhanced our security requirements to better protect your accounts",irrelevant
" Starting March 17, 2021, eBay will no longer offer sellers the option to change their invoiced currency",irrelevant
"Hello Seth,

I just wanted to take a second to thank you for your business, and your recent purchase from my store.",irrelevant
Your free YouMail plan includes 20 in-app transcriptions per month.,irrelevant
"Support resources for developers at all levels

How's it going?",irrelevant
Get better sleep. Eat veggies regularly.,irrelevant
